Unnamed: 0,address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode,location,latitude,longitude,tenure,to_nearest_station,to_nearest_school,tax_band
396,"Oberon Drive, Shirley, B90 2NU",450000,Semi-Detached Bungalow,3,2,"Drakes Estate Agents, Hollywood",https://www.rightmove.co.uk/properties/149779196#/?channel=RES_BUY,True,True,False,B90 2NU,"Oberon Drive, Shirley, Solihull, West Midlands, England, B90 2NU, United Kingdom",52.4036533,-1.8313407,Freehold,0.6 miles,0.2 miles,Band: D
422,"Philip Sidney Road, BIRMINGHAM, West Midlands, B11",180000,Terraced,3,1,"Dixons, Moseley",https://www.rightmove.co.uk/properties/154092749#/?channel=RES_BUY,True,False,False,B11,"Philip Sidney Road, Springfield, Wake Green, Birmingham, West Midlands, England, B11 4HY, United Kingdom",52.4468504,-1.8682942,Freehold,1.2 miles,0.2 miles,Band: A
568,"Stratford Road, Shirley, Solihull",445000,Semi-Detached,4,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/154332299#/?channel=RES_BUY,True,True,True,,"Stratford Road, Shirley, Solihull, West Midlands, England, B90 4BS, United Kingdom",52.3974792,-1.8185877,Freehold,1.1 miles,0.0 miles,Band: TBC
55,"Bills Lane, Shirley, Solihull",799950,Cottage,3,4,"Horton & Senate, Shirley",https://www.rightmove.co.uk/properties/149929445#/?channel=RES_BUY,True,True,False,,"Bills Lane, Shirley, Solihull, West Midlands, England, B90 2PE, United Kingdom",52.4045923,-1.8311453,Freehold,0.3 miles,0.4 miles,Band: E
332,"Lucks Avenue, Birmingham",280000,Semi-Detached,2,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/152244824#/?channel=RES_BUY,True,True,False,,"Lucks Avenue, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B28 8FD, United Kingdom",52.4432309,-1.8405828,Freehold,0.2 miles,0.2 miles,Band: C
335,"Lyons Grove, Sparkhill, Birmingham, B11",285000,Semi-Detached,3,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/147305513#/?channel=RES_BUY,True,True,False,B11,"Lyons Grove, Springfield, Wake Green, Birmingham, West Midlands, England, B11 4HR, United Kingdom",52.4477827,-1.86773,Freehold,1.1 miles,0.2 miles,Band: TBC
457,"Roberts Road, Birmingham, B27 6NF",280000,Terraced,3,1,"Edwards and Gray, West Midlands",https://www.rightmove.co.uk/properties/150392030#/?channel=RES_BUY,True,True,False,B27 6NF,"Roberts Road, Acocks Green, Tyseley, Birmingham, West Midlands, England, B27 6NF, United Kingdom",52.4488317,-1.8164069,Freehold,0.1 miles,0.1 miles,
300,"Jacey Road, Shirley",375000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150108830#/?channel=RES_BUY,True,True,False,,"Jacey Road, Shirley, Solihull, West Midlands, England, B90 3LW, United Kingdom",52.4171985,-1.8219741,Freehold,1.2 miles,0.3 miles,Band: D
76,"Brandon Court, 365 Wake Green Road, Moseley, Birmingham, B13",199950,Duplex,2,2,"Nicholas George Ltd, Moseley",https://www.rightmove.co.uk/properties/153944837#/?channel=RES_BUY,False,True,False,B13,"356 Wake Green Road, Moseley, Birmingham, West Midlands, England, B13, United Kingdom",52.431594828004734,-1.8572746283589692,Leasehold,0.7 miles,0.4 miles,Band: TBC
2,"294 Haslucks Green Road, Solihull, B90",190000,Apartment,2,2,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/145922231#/?channel=RES_BUY,True,True,False,B90,"Haslucks Green Road, Haslucks Green, Solihull, West Midlands, England, B90 1AA, United Kingdom",52.4027652,-1.8450121,Leasehold,0.2 miles,0.3 miles,Band: B
250,"Greswolde Road, Solihull, West Midlands, B91",575000,Semi-Detached,3,2,"John Shepherd, Solihull",https://www.rightmove.co.uk/properties/154175984#/?channel=RES_BUY,True,True,False,B91,"Greswolde Road, Kineton Green, Solihull, West Midlands, England, B91 1DZ, United Kingdom",52.4277246,-1.8030184,Freehold,0.7 miles,0.2 miles,Band: E
