,address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode,location,latitude,longitude,tenure,to_nearest_station,to_nearest_school,tax_band,price_range
80,"Edgcombe Road, Hall Green",290000,Terraced,3,2,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/146635928#/?channel=RES_BUY,True,True,False,B28 8NE,"Edgcombe Road, Billesley, Fox Hollies, Birmingham, West Midlands, England, B28 8NE, United Kingdom",52.4390973,-1.8451682,Freehold,0.2,0.1,B,200-400
81,"Longmore Road, Shirley, Solihull",475000,Semi-Detached,3,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/151801433#/?channel=RES_BUY,True,True,False,B90 3EX,"Longmore Road, Blossomfield, Solihull, West Midlands, England, B90 3EX, United Kingdom",52.4044141,-1.8134917,Freehold,1.3,0.2,D,400-600
82,"Ashwell Drive, Shirley, Solihull",375000,Other,2,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/151017920#/?channel=RES_BUY,True,True,False,B90 3LR,"Ashwell Drive, Sharmans Cross, Solihull, West Midlands, England, B90 3LR, United Kingdom",52.4141396,-1.8138798,Freehold,1.1,0.2,D,200-400
83,"Woodshires Road, Solihull, West Midlands, B92",200000,Flat,2,1,"John Shepherd, Solihull",https://www.rightmove.co.uk/properties/148552664#/?channel=RES_BUY,False,True,False,B92,"Woodshires Road, Kineton Green, Solihull, West Midlands, England, B92 7DN, United Kingdom",52.4301982,-1.8050122,Leasehold,0.6,0.3,C,200-400
84,"St Agnes Road, Moseley, Birmingham, B13",745000,Semi-Detached,6,2,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/133217753#/?channel=RES_BUY,True,True,False,B13,"St Agnes Road, Springfield, Wake Green, Birmingham, West Midlands, England, B13 9JW, United Kingdom",52.4387757,-1.8714784,Freehold,1.3,0.6,G,600-800
85,"Stockfield Road, Acocks Green, Birmingham, West Midlands, B27",365000,Terraced,5,2,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/153009605#/?channel=RES_BUY,True,True,False,B27,"Stockfield Road, Acocks Green, Tyseley, Birmingham, West Midlands, England, B27 6AP, United Kingdom",52.4523038,-1.8313123,Freehold,0.4,0.5,TBC,200-400
86,"Oberon Drive, Shirley, B90 2NU",450000,Other,3,2,"Drakes Estate Agents, Hollywood",https://www.rightmove.co.uk/properties/149779196#/?channel=RES_BUY,True,True,False,B90 2NU,"Oberon Drive, Shirley, Solihull, West Midlands, England, B90 2NU, United Kingdom",52.4036533,-1.8313407,Freehold,0.6,0.2,D,400-600
87,"Philip Sidney Road, BIRMINGHAM, West Midlands, B11",180000,Terraced,3,1,"Dixons, Moseley",https://www.rightmove.co.uk/properties/154092749#/?channel=RES_BUY,True,False,False,B11,"Philip Sidney Road, Springfield, Wake Green, Birmingham, West Midlands, England, B11 4HY, United Kingdom",52.4468504,-1.8682942,Freehold,1.2,0.2,A,0-200
88,"Stratford Road, Shirley, Solihull",445000,Semi-Detached,4,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/154332299#/?channel=RES_BUY,True,True,True,B90 4BS,"Stratford Road, Shirley, Solihull, West Midlands, England, B90 4BS, United Kingdom",52.3974792,-1.8185877,Freehold,1.1,0.0,TBC,400-600
89,"Bills Lane, Shirley, Solihull",799950,Other,3,4,"Horton & Senate, Shirley",https://www.rightmove.co.uk/properties/149929445#/?channel=RES_BUY,True,True,False,B90 2PE,"Bills Lane, Shirley, Solihull, West Midlands, England, B90 2PE, United Kingdom",52.4045923,-1.8311453,Freehold,0.3,0.4,E,600-800
90,"Lucks Avenue, Birmingham",280000,Semi-Detached,2,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/152244824#/?channel=RES_BUY,True,True,False,B28 8FD,"Lucks Avenue, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B28 8FD, United Kingdom",52.4432309,-1.8405828,Freehold,0.2,0.2,C,200-400
91,"Lyons Grove, Sparkhill, Birmingham, B11",285000,Semi-Detached,3,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/147305513#/?channel=RES_BUY,True,True,False,B11,"Lyons Grove, Springfield, Wake Green, Birmingham, West Midlands, England, B11 4HR, United Kingdom",52.4477827,-1.86773,Freehold,1.1,0.2,TBC,200-400
92,"Roberts Road, Birmingham, B27 6NF",280000,Terraced,3,1,"Edwards and Gray, West Midlands",https://www.rightmove.co.uk/properties/150392030#/?channel=RES_BUY,True,True,False,B27 6NF,"Roberts Road, Acocks Green, Tyseley, Birmingham, West Midlands, England, B27 6NF, United Kingdom",52.4488317,-1.8164069,Freehold,0.1,0.1,,200-400
93,"Jacey Road, Shirley",375000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150108830#/?channel=RES_BUY,True,True,False,B90 3LW,"Jacey Road, Shirley, Solihull, West Midlands, England, B90 3LW, United Kingdom",52.4171985,-1.8219741,Freehold,1.2,0.3,D,200-400
94,"Brandon Court, 365 Wake Green Road, Moseley, Birmingham, B13",199950,Other,2,2,"Nicholas George Ltd, Moseley",https://www.rightmove.co.uk/properties/153944837#/?channel=RES_BUY,False,True,False,B13,"356 Wake Green Road, Moseley, Birmingham, West Midlands, England, B13, United Kingdom",52.431594828004734,-1.8572746283589687,Leasehold,0.7,0.4,TBC,0-200
95,"294 Haslucks Green Road, Solihull, B90",190000,Flat,2,2,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/145922231#/?channel=RES_BUY,True,True,False,B90,"Haslucks Green Road, Haslucks Green, Solihull, West Midlands, England, B90 1AA, United Kingdom",52.4027652,-1.8450121,Leasehold,0.2,0.3,B,0-200
96,"Greswolde Road, Solihull, West Midlands, B91",575000,Semi-Detached,3,2,"John Shepherd, Solihull",https://www.rightmove.co.uk/properties/154175984#/?channel=RES_BUY,True,True,False,B91,"Greswolde Road, Kineton Green, Solihull, West Midlands, England, B91 1DZ, United Kingdom",52.4277246,-1.8030184,Freehold,0.7,0.2,E,400-600
97,"Florence Road, BIRMINGHAM, West Midlands, B27",240000,Terraced,3,1,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/153889991#/?channel=RES_BUY,True,False,False,B27,"Florence Road, Acocks Green, Tyseley, Birmingham, West Midlands, England, B27 6LG, United Kingdom",52.4531993,-1.817558,,0.3,0.1,TBC,200-400
98,"Hilton Avenue, Birmingham",350000,Semi-Detached,3,2,"Shipways, Shirley",https://www.rightmove.co.uk/properties/152642933#/?channel=RES_BUY,True,True,False,B28 0PE,"Hilton Avenue, Billesley, Yardley Wood, Birmingham, West Midlands, England, B28 0PE, United Kingdom",52.4163093,-1.8467894,Freehold,0.5,0.1,C,200-400
99,"Yardley Wood Road, Moseley, Birmingham, B13",129500,Flat,1,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/154365518#/?channel=RES_BUY,False,True,False,B13,"Yardley Wood Road, Springfield, Wake Green, Birmingham, West Midlands, England, B13 9LB, United Kingdom",52.438007,-1.8709076,Leasehold,1.2,0.3,TBC,0-200
100,"Miall Road, B28",365000,Semi-Detached,3,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/153449534#/?channel=RES_BUY,True,True,False,B28,"Miall Road, Hall Green, Birmingham, West Midlands, England, B28 9BP, United Kingdom",52.432473,-1.8372659,Freehold,0.4,0.3,C,200-400
101,"Stratford Road, Shirley, Solihull",485000,Detached,4,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/144413441#/?channel=RES_BUY,True,True,True,B90 4BS,"Stratford Road, Shirley, Solihull, West Midlands, England, B90 4BS, United Kingdom",52.3974792,-1.8185877,Freehold,1.0,0.1,TBC,400-600
102,"Shirley Road, Hall Green, Birmingham, B28 9JR",470000,Semi-Detached,5,3,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/143326661#/?channel=RES_BUY,True,True,False,B28 9JR,"Shirley Road, Hall Green, Birmingham, West Midlands, England, B28 9JR, United Kingdom",52.4263621,-1.8365478,Freehold,0.8,0.1,D,400-600
103,"James Court, Wake Green Park",100000,Flat,1,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/153012953#/?channel=RES_BUY,False,True,False,B13 9XY,"James Court, Wake Green Park, Springfield, Wake Green, Birmingham, West Midlands, England, B13 9XY, United Kingdom",52.44402725,-1.8716949985933289,Leasehold,1.3,0.5,A,0-200
104,"Streetsbrook Road, Shirley, Solihull, West Midlands, B90",550000,Detached,4,2,"John Shepherd, Solihull",https://www.rightmove.co.uk/properties/153612203#/?channel=RES_BUY,True,True,False,B90,"Streetsbrook Road, Shirley, Solihull, West Midlands, England, B90 3PD, United Kingdom",52.4223289,-1.8253451,Freehold,1.2,0.3,E,400-600
105,"Eaton Road, Birmingham, West Midlands, B11",350000,Semi-Detached,4,2,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/152486381#/?channel=RES_BUY,True,True,False,B11,"Eaton Road, Springfield, Tyseley, Birmingham, West Midlands, England, B11 3JP, United Kingdom",52.4487554,-1.8449118,Freehold,0.4,0.1,C,200-400
106,"Geoffrey Road, Birmingham, West Midlands, B11",260000,Terraced,3,1,"Dixons, Moseley",https://www.rightmove.co.uk/properties/153908018#/?channel=RES_BUY,True,True,False,B11,"Geoffrey Road, Springfield, Wake Green, Birmingham, West Midlands, England, B11 4HU, United Kingdom",52.4459991,-1.8673845,Freehold,1.1,0.3,A,200-400
107,"School Road, B90",310000,Semi-Detached,3,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/153839528#/?channel=RES_BUY,True,True,False,B90,"School Road, Shirley, Solihull, West Midlands, England, B90 2AX, United Kingdom",52.4058975,-1.826055,Freehold,0.9,0.1,,200-400
108,"Warwick Road, Solihull, B92",125000,Flat,1,1,"Ferndown Estates, Marston Green",https://www.rightmove.co.uk/properties/148649465#/?channel=RES_BUY,False,True,False,B92,"Warwick Road, Olton, Solihull, West Midlands, England, B92 7JT, United Kingdom",52.4387414,-1.8071598,Leasehold,0.5,0.5,,0-200
109,"Loxley Court, Baldwins Lane, Birmingham, B28 0FH",210000,Flat,2,1,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/154619909#/?channel=RES_BUY,False,True,False,B28 0FH,"Loxley Court, Baldwins Lane, Birmingham, West Midlands, England, B28 0FH,	United Kingdom",52.42095047459805,-1.8383903929671763,Freehold,0.7,0.3,C,200-400
110,"Coldbath Road, Kings Heath, Birmingham B13",225000,Terraced,3,1,"Glovers Estate Agents, Kings Heath",https://www.rightmove.co.uk/properties/149319863#/?channel=RES_BUY,True,False,False,B13,"Coldbath Road, Springfield, Wake Green, Birmingham, West Midlands, England, B13 0AQ, United Kingdom",52.4330825,-1.8731037,Freehold,1.1,0.2,B,200-400
111,"Brookvale Grove, Solihull",325000,Semi-Detached,3,1,"Burchell Edwards, Solihull",https://www.rightmove.co.uk/properties/151899899#/?channel=RES_BUY,True,True,False,B92 7JH,"Brookvale Grove, Olton, Solihull, West Midlands, England, B92 7JH, United Kingdom",52.4389659,-1.8117228,Freehold,0.3,0.2,D,200-400
112,"Masons Way, Solihull",265000,Terraced,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154268261#/?channel=RES_BUY,True,True,False,B92 7JE,"Masons Way, Olton, Solihull, West Midlands, England, B92 7JE, United Kingdom",52.4409181,-1.8073605,Freehold,0.2,0.2,C,200-400
113,"Littlemead Road, Shirley, Solihull",495000,Semi-Detached,4,2,"Sterling Homes, Birmingham",https://www.rightmove.co.uk/properties/153283946#/?channel=RES_BUY,True,True,False,B90,"Littlemead Road, Shirley, Solihull, Birmingham, West Midlands, England, B90 , United Kingdom",2.39688028331134,-1.8501598271600035,Freehold,0.4,0.3,,400-600
114,"Langley Hall Road, Solihull, B92 7HB",350000,Terraced,3,1,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/153737951#/?channel=RES_BUY,True,True,False,B92 7HB,"Langley Hall Road, Kineton Green, Solihull, West Midlands, England, B27 7AW, United Kingdom",52.4296437,-1.819594,Freehold,0.7,0.2,C,200-400
115,"Blenheim Road, Moseley",480000,Detached,3,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/150959195#/?channel=RES_BUY,True,True,False,B13 9SZ,"Blenheim Road, Kings Heath, Wake Green, Birmingham, West Midlands, England, B13 9SZ, United Kingdom",52.4379696,-1.8827914,Freehold,1.6,0.3,D,400-600
116,"Douglas Road, Acocks Green",325000,Terraced,3,2,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/153616700#/?channel=RES_BUY,True,True,False,B27 6HW,"Douglas Road, Acocks Green, Tyseley, Birmingham, West Midlands, England, B27 6HW, United Kingdom",52.4524158,-1.8229612,Freehold,0.3,0.1,B,200-400
117,"Ashdale Drive, Nr Hollywood",250000,Terraced,3,1,"Melvyn Danes, Wythall",https://www.rightmove.co.uk/properties/146414753#/?channel=RES_BUY,True,True,False,B14,"Ashdale Drive, Maypole, Hollywood, Birmingham, West Midlands, England, B14, United Kingdom",52.402974437344255,-1.8791687366426464,Freehold,1.2,0.2,C,200-400
118,"Braceby Avenue, Birmingham",190000,Terraced,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/150183542#/?channel=RES_BUY,True,True,False,B13 0US,"Braceby Avenue, Billesley, Yardley Wood, Birmingham, West Midlands, England, B13 0US, United Kingdom",52.4274741,-1.8668821,Freehold,0.5,0.1,B,0-200
119,"Pailton Road, Shirley, Solihull, West Midlands, B90",159500,Flat,2,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/151455233#/?channel=RES_BUY,False,True,False,B90,"Pailton Road, Shirley, Solihull, West Midlands, England, B90 3NZ, United Kingdom",52.4192211,-1.828235,Leasehold,1.1,0.5,B,0-200
